Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9,Pile_10,Pile_11
7.0,24.0,17,15.0,22.0,8.0,14.0,16,21.0,20.0,3.0,0
13.0,25.0,11,2.0,4.0,27.0,5.0,1,,,18.0,6
23.0,29.0,26,,,,,10,,,,28
,,12,,,,,19,,,,9
