Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9,Pile_10,Pile_11,Pile_12
9.0,20.0,13.0,11,26.0,22.0,5.0,18.0,8.0,27.0,21.0,3.0,16.0
0.0,28.0,19.0,25,12.0,4.0,14.0,,,,,,
7.0,15.0,10.0,24,17.0,,,,,,,,
23.0,2.0,,1,,,,,,,,,
,,,29,,,,,,,,,
,,,6,,,,,,,,,
