Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7
26.0,21.0,13.0,15.0,11.0,19.0,12.0,8
17.0,,,20.0,9.0,10.0,0.0,22
,,,,29.0,3.0,25.0,7
,,,,5.0,,18.0,4
,,,,16.0,,,24
,,,,1.0,,,6
,,,,,,,2
,,,,,,,28
,,,,,,,14
,,,,,,,27
,,,,,,,23
