Pile_0,Pile_1,Pile_2
7.0,13,21.0
22.0,18,24.0
2.0,19,3.0
4.0,1,17.0
27.0,5,12.0
10.0,28,6.0
0.0,25,29.0
20.0,23,
15.0,8,
16.0,9,
,11,
,26,
,14,
