Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9,Pile_10,Pile_11,Pile_12
0.0,15.0,20.0,13.0,12.0,16.0,5.0,3.0,21.0,28.0,4.0,18.0,26
9.0,2.0,,10.0,,8.0,14.0,19.0,,6.0,22.0,29.0,25
7.0,,,,,27.0,,,,,,,11
23.0,,,,,,,,,,,,24
,,,,,,,,,,,,1
,,,,,,,,,,,,17
