Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9,Pile_10
2.0,16.0,12.0,19.0,23.0,17,27.0,20.0,22.0,13.0,29.0
28.0,14.0,6.0,3.0,7.0,1,8.0,15.0,4.0,10.0,18.0
,5.0,,,9.0,24,,,,,
,21.0,,,0.0,26,,,,,
,,,,,11,,,,,
,,,,,25,,,,,
