Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9,Pile_10
10.0,23.0,11,16.0,3.0,5.0,4.0,9.0,18.0,2.0,8
19.0,,26,,,14.0,22.0,7.0,,20.0,0
24.0,,17,,,,,,,15.0,27
13.0,,1,,,,,,,21.0,6
,,29,,,,,,,,28
,,25,,,,,,,,12
