Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9
13.0,10.0,15.0,5.0,3.0,28.0,8.0,22.0,1,17.0
,21.0,19.0,14.0,,6.0,,7.0,24,26.0
,,20.0,,,23.0,,4.0,25,11.0
,,2.0,,,,,9.0,29,12.0
,,,,,,,0.0,27,
,,,,,,,,16,
,,,,,,,,18,
