Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8
12.0,22.0,9.0,8.0,13.0,19.0,6,14.0,21.0
26.0,4.0,7.0,27.0,3.0,,11,5.0,
17.0,,28.0,,23.0,,1,24.0,
2.0,,0.0,,10.0,,29,,
15.0,,,,,,25,,
20.0,,,,,,18,,
,,,,,,16,,
