Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7
0,18.0,29.0,5.0,22.0,12.0,23.0,2.0
9,,,3.0,24.0,1.0,25.0,20.0
8,,,14.0,4.0,,13.0,21.0
27,,,,28.0,,7.0,10.0
17,,,,,,16.0,15.0
26,,,,,,,19.0
11,,,,,,,
6,,,,,,,
