Pile_0,Pile_1,Pile_2,Pile_3,Pile_4
21.0,0,1,3.0,2.0
,4,6,5.0,12.0
,7,11,10.0,15.0
,8,16,14.0,20.0
,9,17,19.0,27.0
,13,24,,28.0
,18,25,,
,22,26,,
,23,29,,
