Pile_0,Pile_1,Pile_2,Pile_3,Pile_4
1.0,4.0,18.0,6,3.0
11.0,29.0,,8,19.0
16.0,24.0,,14,20.0
7.0,25.0,,2,17.0
9.0,13.0,,0,10.0
28.0,23.0,,12,15.0
,,,26,21.0
,,,27,5.0
,,,22,
