Pile_0,Pile_1,Pile_2,Pile_3,Pile_4
25.0,29.0,6.0,22,14.0
16.0,,26.0,7,5.0
18.0,,11.0,4,21.0
13.0,,17.0,9,15.0
,,12.0,24,20.0
,,8.0,19,2.0
,,,27,3.0
,,,1,10.0
,,,0,28.0
,,,23,
