Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5
14,24.0,7.0,22.0,13.0,16.0
20,1.0,8.0,9.0,18.0,
5,12.0,27.0,6.0,25.0,
28,26.0,4.0,,,
2,11.0,0.0,,,
10,29.0,23.0,,,
21,17.0,,,,
15,,,,,
3,,,,,
19,,,,,
