Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5
2.0,14.0,29.0,16.0,12.0,23
21.0,5.0,25.0,22.0,18.0,0
15.0,19.0,3.0,4.0,,28
20.0,,,8.0,,27
10.0,,,,,24
,,,,,13
,,,,,9
,,,,,26
,,,,,17
,,,,,7
,,,,,6
,,,,,1
,,,,,11
