Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9,Pile_10,Pile_11,Pile_12
17.0,15.0,21.0,13,14.0,0,28.0,11.0,1,4.0,8.0,18.0,27.0
26.0,20.0,,19,5.0,7,6.0,12.0,16,22.0,,,
,2.0,,24,3.0,9,,,25,,,,
,,,10,,23,,,29,,,,
