Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7
2.0,24,0.0,5.0,19.0,12.0,8.0,4.0
15.0,29,7.0,14.0,13.0,18.0,27.0,22.0
20.0,1,9.0,16.0,,,,
3.0,25,23.0,,,,,
10.0,11,,,,,,
28.0,26,,,,,,
21.0,6,,,,,,
,17,,,,,,
