Pile_0,Pile_1,Pile_2,Pile_3,Pile_4,Pile_5,Pile_6,Pile_7,Pile_8,Pile_9,Pile_10,Pile_11
15.0,0.0,17,29.0,22.0,5.0,10.0,18.0,21.0,23.0,4.0,13.0
2.0,9.0,26,1.0,24.0,14.0,19.0,27.0,,,,
20.0,7.0,12,3.0,16.0,,,8.0,,,,
,28.0,6,,25.0,,,,,,,
,,11,,,,,,,,,
